epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,1259.19,1.28554,0.52741,1.00727,0.96178,0.95902,0.97378,0.52563,1.70666,0.64785,1.15888,0.000802,0.000802,0.000802
62,1279.19,1.32452,0.53696,1.03021,0.87181,0.8362,0.90602,0.38715,2.15745,0.82191,1.23946,0.0007987,0.0007987,0.0007987
63,1299.34,1.32023,0.53164,1.02685,0.91477,0.81148,0.90886,0.42608,2.00932,0.80603,1.21295,0.0007954,0.0007954,0.0007954
64,1319.54,1.34281,0.54515,1.01624,0.80539,0.67623,0.80104,0.3549,2.07985,1.18934,1.24453,0.0007921,0.0007921,0.0007921
65,1339.16,1.31729,0.53903,1.01311,0.96029,0.95492,0.9747,0.56005,1.63714,0.62451,1.14685,0.0007888,0.0007888,0.0007888
66,1359.3,1.34675,0.52863,1.01838,0.96019,0.95082,0.96888,0.56678,1.62484,0.61841,1.15382,0.0007855,0.0007855,0.0007855
67,1378.85,1.27854,0.51451,1.02986,0.94662,0.87213,0.94085,0.506,1.70852,0.70807,1.17281,0.0007822,0.0007822,0.0007822
68,1398.63,1.29366,0.52395,1.02592,0.94162,0.94262,0.9528,0.51104,1.74035,0.64892,1.18786,0.0007789,0.0007789,0.0007789
69,1418.94,1.28254,0.52447,1.00481,0.95329,0.95902,0.96581,0.52103,1.69911,0.64497,1.17817,0.0007756,0.0007756,0.0007756
70,1438.22,1.33269,0.53192,1.02373,0.92848,0.88115,0.93674,0.47668,1.76513,0.77428,1.17113,0.0007723,0.0007723,0.0007723
71,1457.62,1.28271,0.52555,0.98932,0.94833,0.95902,0.96748,0.54077,1.62275,0.63478,1.1665,0.000769,0.000769,0.000769
72,1477.77,1.31158,0.52419,1.01319,0.95121,0.95877,0.96374,0.54539,1.61241,0.6181,1.16361,0.0007657,0.0007657,0.0007657
73,1497.55,1.29749,0.51588,1.02775,0.96285,0.96721,0.98214,0.54081,1.66649,0.60952,1.14604,0.0007624,0.0007624,0.0007624
74,1517.76,1.286,0.51576,1.00247,0.95375,0.95492,0.97369,0.53716,1.65341,0.61129,1.14347,0.0007591,0.0007591,0.0007591
75,1537.89,1.27081,0.51381,0.99851,0.9668,0.95483,0.97758,0.53323,1.66607,0.62381,1.16102,0.0007558,0.0007558,0.0007558
76,1557.69,1.266,0.51248,0.98891,0.95801,0.95082,0.97814,0.52239,1.73062,0.63875,1.17716,0.0007525,0.0007525,0.0007525
77,1577.29,1.27218,0.51355,1.02442,0.95356,0.94672,0.96837,0.53391,1.70204,0.62512,1.18624,0.0007492,0.0007492,0.0007492
78,1597.61,1.3057,0.52376,1.00372,0.94886,0.94262,0.96115,0.50783,1.77848,0.63916,1.19278,0.0007459,0.0007459,0.0007459
79,1617.84,1.28518,0.51179,1.00796,0.96685,0.95619,0.9776,0.54879,1.63446,0.61732,1.14624,0.0007426,0.0007426,0.0007426
80,1637.35,1.26096,0.53865,1.01343,0.96401,0.95492,0.97545,0.54613,1.64246,0.63055,1.15537,0.0007393,0.0007393,0.0007393
81,1657.25,1.25514,0.50199,0.99169,0.9453,0.94262,0.95842,0.51699,1.72164,0.63132,1.21408,0.000736,0.000736,0.000736
82,1676.82,1.25248,0.50566,1.00745,0.93839,0.93443,0.95074,0.52106,1.72463,0.63,1.21263,0.0007327,0.0007327,0.0007327
83,1696.58,1.21513,0.49437,0.99858,0.93157,0.93852,0.96306,0.53087,1.65902,0.64748,1.15329,0.0007294,0.0007294,0.0007294
84,1716.5,1.25601,0.5111,1.00485,0.94136,0.94672,0.96933,0.52366,1.67162,0.65597,1.14102,0.0007261,0.0007261,0.0007261
85,1736.17,1.22801,0.49256,0.98712,0.94262,0.94262,0.96079,0.51451,1.75024,0.64366,1.1806,0.0007228,0.0007228,0.0007228
86,1755.88,1.22166,0.4894,0.9953,0.95191,0.94672,0.97037,0.53595,1.71472,0.62949,1.18191,0.0007195,0.0007195,0.0007195
87,1775.83,1.29652,0.50735,0.98988,0.9627,0.95189,0.97609,0.50367,1.8241,0.64825,1.1947,0.0007162,0.0007162,0.0007162
88,1795.71,1.28572,0.50566,1.01009,0.97083,0.95486,0.98101,0.50298,1.80765,0.65632,1.18506,0.0007129,0.0007129,0.0007129
89,1815.69,1.2921,0.51146,0.99689,0.96508,0.95082,0.97576,0.55267,1.63941,0.61449,1.13182,0.0007096,0.0007096,0.0007096
90,1835.64,1.2564,0.49816,0.98792,0.96691,0.95805,0.98187,0.54262,1.66798,0.62853,1.12824,0.0007063,0.0007063,0.0007063
91,1855.83,1.27611,0.50607,1.00542,0.94304,0.94994,0.96771,0.51636,1.69565,0.64892,1.14183,0.000703,0.000703,0.000703
92,1875.62,1.23108,0.4896,0.98035,0.94307,0.94672,0.96835,0.52463,1.62949,0.63519,1.13572,0.0006997,0.0006997,0.0006997
93,1895.15,1.25808,0.49648,1.01335,0.95441,0.96311,0.97309,0.55071,1.58305,0.61786,1.1301,0.0006964,0.0006964,0.0006964
94,1914.86,1.25626,0.49619,0.99464,0.93989,0.96118,0.96973,0.54521,1.61831,0.61785,1.14494,0.0006931,0.0006931,0.0006931
95,1934.83,1.26032,0.50308,0.98894,0.9146,0.93033,0.93834,0.51169,1.66701,0.64748,1.19763,0.0006898,0.0006898,0.0006898
96,1954.87,1.27033,0.50373,1.01114,0.93108,0.94672,0.95432,0.52634,1.63576,0.64355,1.1889,0.0006865,0.0006865,0.0006865
97,1974.99,1.30631,0.51307,1.01595,0.94561,0.95902,0.9687,0.51572,1.74384,0.65225,1.17505,0.0006832,0.0006832,0.0006832
98,1994.82,1.27253,0.50489,1.00178,0.93093,0.93443,0.95474,0.51546,1.72314,0.64331,1.15989,0.0006799,0.0006799,0.0006799
99,2014.65,1.25028,0.49836,0.99767,0.93873,0.94196,0.95506,0.54035,1.61807,0.62786,1.15217,0.0006766,0.0006766,0.0006766
100,2034.24,1.25144,0.4975,1.00254,0.94126,0.94262,0.95909,0.53029,1.65612,0.64148,1.16389,0.0006733,0.0006733,0.0006733
101,2054.24,1.25301,0.49679,0.99344,0.9489,0.95082,0.96537,0.49488,1.77347,0.67128,1.19481,0.00067,0.00067,0.00067
102,2074.1,1.26951,0.50348,0.99139,0.94895,0.95082,0.95874,0.51352,1.71302,0.65894,1.18832,0.0006667,0.0006667,0.0006667
103,2093.77,1.2604,0.49302,1.01418,0.94628,0.93854,0.96224,0.54891,1.59344,0.63124,1.15552,0.0006634,0.0006634,0.0006634
104,2113.99,1.21755,0.49372,0.97653,0.94617,0.93642,0.96352,0.53759,1.68869,0.64507,1.14715,0.0006601,0.0006601,0.0006601
105,2134.18,1.28247,0.51142,1.02378,0.95229,0.95492,0.97683,0.54505,1.66215,0.62774,1.12084,0.0006568,0.0006568,0.0006568
106,2153.99,1.27785,0.50758,0.99456,0.9608,0.94672,0.97273,0.55816,1.58896,0.62194,1.11914,0.0006535,0.0006535,0.0006535
107,2173.97,1.25378,0.49735,1.02425,0.94094,0.93852,0.95364,0.53435,1.64896,0.6434,1.15188,0.0006502,0.0006502,0.0006502
108,2193.55,1.26402,0.50139,1.02335,0.94646,0.94187,0.95726,0.53702,1.66017,0.64875,1.15278,0.0006469,0.0006469,0.0006469
109,2213.69,1.25316,0.49774,0.99846,0.95857,0.95902,0.97682,0.56061,1.59953,0.61865,1.13533,0.0006436,0.0006436,0.0006436
110,2233.73,1.23408,0.50323,0.98313,0.95436,0.95492,0.96599,0.54585,1.63046,0.62228,1.14144,0.0006403,0.0006403,0.0006403
111,2253.55,1.22781,0.48942,0.98138,0.93546,0.93443,0.94521,0.49659,1.74197,0.66019,1.19693,0.000637,0.000637,0.000637
112,2273.65,1.23571,0.49616,0.99986,0.94984,0.94672,0.96318,0.52083,1.68865,0.65259,1.1933,0.0006337,0.0006337,0.0006337
113,2293.09,1.23921,0.49559,0.98836,0.95627,0.94672,0.96571,0.54392,1.6512,0.62142,1.15666,0.0006304,0.0006304,0.0006304
114,2313.5,1.25706,0.50272,0.98497,0.95732,0.94672,0.97264,0.54897,1.64626,0.61202,1.13988,0.0006271,0.0006271,0.0006271
115,2333.17,1.22573,0.49761,0.98326,0.96274,0.95309,0.97719,0.55467,1.58642,0.61166,1.12846,0.0006238,0.0006238,0.0006238
116,2353.14,1.20818,0.49277,0.97325,0.95782,0.95902,0.97637,0.54494,1.61999,0.64064,1.13269,0.0006205,0.0006205,0.0006205
